	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
May 2004 Incinerator and Landfill Cost Data	0.5555555555555556	0.40909090909090906	0.40909090909090906	0.47058823529411764	0.452054794520548	0.4347826086956522	0.5151515151515151	0.36585365853658536	0.40909090909090906	0.46153846153846156	0.34883720930232553	0.46031746031746035
Part 2 CCT Overview Environmental Protection Technologies (Technologies to Effectively Use Coal Ash):5C1. Coal Ash Generation Process and Application Fields	0.423728813559322	0.3448275862068966	0.3793103448275862	0.29268292682926833	0.28735632183908044	0.33333333333333337	0.30000000000000004	0.38181818181818183	0.4137931034482759	0.3939393939393939	0.4035087719298246	0.24675324675324672
Recent Examples of Rate Increases in Vertically Integrated States	0.5652173913043479	0.28888888888888886	0.24444444444444446	0.33333333333333337	0.4054054054054054	0.3191489361702128	0.4029850746268657	0.38095238095238093	0.33333333333333337	0.4339622641509434	0.2272727272727273	0.375
Recommended Practice	0.5555555555555556	0.3142857142857143	0.37142857142857144	0.5593220338983051	0.59375	0.4054054054054054	0.5789473684210527	0.25	0.37142857142857144	0.4883720930232558	0.4117647058823529	0.5185185185185186
State RCRA Subtitle C Core Hazardous Waste Management Program Implementation Costs Final Report	0.48	0.34693877551020413	0.34693877551020413	0.36986301369863017	0.41025641025641024	0.33333333333333337	0.4084507042253521	0.4347826086956522	0.4285714285714286	0.4385964912280702	0.375	0.3529411764705882
Status of Coal Ash Production	0.46341463414634143	0.35	0.35	0.4375	0.4782608695652174	0.38095238095238093	0.4838709677419355	0.29729729729729726	0.35	0.41666666666666663	0.33333333333333337	0.38983050847457623
nan	0.84	0.8333333333333334	0.8333333333333334	0.9166666666666666	0.9245283018867925	0.8461538461538461	0.9130434782608696	0.8095238095238095	0.8333333333333334	0.875	0.8260869565217391	0.9069767441860466
nan	0.84	0.8333333333333334	0.8333333333333334	0.9166666666666666	0.9245283018867925	0.8461538461538461	0.9130434782608696	0.8095238095238095	0.8333333333333334	0.875	0.8260869565217391	0.9069767441860466
nan	0.84	0.8333333333333334	0.8333333333333334	0.9166666666666666	0.9245283018867925	0.8461538461538461	0.9130434782608696	0.8095238095238095	0.8333333333333334	0.875	0.8260869565217391	0.9069767441860466
"(slide number TVA-00007496) of “Kingston Fossil Plant Decision Matrix: Pond or Peninsula?"""	1.0	0.43333333333333335	0.4666666666666667	0.33333333333333337	1.0	0.4193548387096774	1.0	0.4736842105263158	0.5	0.38235294117647056	0.4915254237288136	1.0
2007 Directory of US Commercial Hazardous Waste Management Facilities	0.5769230769230769	0.4117647058823529	0.37254901960784315	0.41333333333333333	0.42500000000000004	0.3584905660377359	0.452054794520548	0.41666666666666663	0.37254901960784315	0.38983050847457623	0.31999999999999995	0.34285714285714286
Dry Fish Ash Systerm Conversion for an Existing 480MW Power Plant, Justification, Design and Construction	0.4482758620689655	0.368421052631579	0.368421052631579	0.23456790123456794	0.3023255813953488	0.38983050847457623	0.3924050632911392	0.37037037037037035	0.368421052631579	0.4461538461538461	0.3571428571428571	0.3421052631578947
Kingston Fossil Plant Decision Matrix: Pond or Peninsula?	0.6	0.36363636363636365	0.40909090909090906	0.4411764705882353	0.5342465753424658	0.30434782608695654	0.4545454545454546	0.36585365853658536	0.40909090909090906	0.42307692307692313	0.39534883720930236	0.5238095238095238
Production and Utilisation of CCPs in 2007 in Europe (EU 15)	0.5918367346938775	0.41666666666666663	0.45833333333333337	0.4722222222222222	0.37662337662337664	0.36	0.4571428571428572	0.33333333333333337	0.41666666666666663	0.4285714285714286	0.4042553191489362	0.31343283582089554
Public Health Issues Surrounding Coal as an Energy Source	0.4782608695652174	0.24444444444444446	0.24444444444444446	0.3623188405797102	0.4054054054054054	0.4042553191489362	0.4029850746268657	0.33333333333333337	0.33333333333333337	0.3584905660377359	0.31818181818181823	0.34375
Toxic Wastes and Race at Twenty 1987-2007	0.6086956521739131	0.4222222222222223	0.4222222222222223	0.5072463768115942	0.43243243243243246	0.4893617021276596	0.5223880597014925	0.4285714285714286	0.4666666666666667	0.4716981132075472	0.5454545454545454	0.40625
Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use	0.4	0.34693877551020413	0.30612244897959184	0.28767123287671237	0.3846153846153846	0.4117647058823529	0.4084507042253521	0.4782608695652174	0.4285714285714286	0.4385964912280702	0.29166666666666663	0.2941176470588235
Executive Order 12866	0.6923076923076923	0.631578947368421	0.631578947368421	0.6129032258064516	0.5522388059701493	0.44999999999999996	0.5666666666666667	0.48571428571428577	0.5263157894736843	0.5217391304347826	0.5675675675675675	0.5789473684210527
Federal Actions to Address Environmental Justice in Minority Populations and Low-Income Populations	0.48	0.26530612244897955	0.30612244897959184	0.31506849315068497	0.3846153846153846	0.33333333333333337	0.3802816901408451	0.34782608695652173	0.4285714285714286	0.4035087719298246	0.29166666666666663	0.38235294117647056
Overview of Life-Cycle Stages and Costs Considered by Software Systems and Tools	0.33333333333333337	0.23404255319148937	0.19148936170212771	0.323943661971831	0.368421052631579	0.3877551020408163	0.4492753623188406	0.36363636363636365	0.3191489361702128	0.3090909090909091	0.21739130434782605	0.303030303030303
Text of the 14 January 2009 H.R. 493 bill	0.5510204081632653	0.5	0.5	0.41666666666666663	0.4025974025974026	0.52	0.4571428571428572	0.4666666666666667	0.5	0.4642857142857143	0.4893617021276596	0.3731343283582089
TVA Widow’s Creek Clean Up Info	1.0	0.40909090909090906	0.40909090909090906	0.4411764705882353	1.0	0.4782608695652174	1.0	0.5121951219512195	0.5454545454545454	0.6153846153846154	0.4883720930232558	1.0
US Dept of Energy (DOE), Energy Information Administration (EIA) website	0.43999999999999995	0.34693877551020413	0.30612244897959184	0.34246575342465757	0.3589743589743589	0.4509803921568627	0.46478873239436624	0.5217391304347826	0.4693877551020408	0.5087719298245614	0.375	0.38235294117647056
US Senate Resolution 64	0.5789473684210527	0.5135135135135135	0.45945945945945943	0.5737704918032787	0.6060606060606061	0.4871794871794872	0.6610169491525424	0.47058823529411764	0.45945945945945943	0.4666666666666667	0.38888888888888884	0.5714285714285714
RCRA Practice Manual	0.5263157894736843	0.45945945945945943	0.5135135135135135	0.540983606557377	0.5757575757575757	0.4358974358974359	0.5932203389830508	0.4117647058823529	0.5135135135135135	0.5555555555555556	0.4444444444444444	0.5
2009 Hazardous Waste Report	0.7	0.5384615384615384	0.5384615384615384	0.6507936507936508	0.5588235294117647	0.41463414634146345	0.5737704918032787	0.5	0.5384615384615384	0.5319148936170213	0.5263157894736843	0.5172413793103448
CKD proposed rule	0.6	0.5294117647058824	0.5294117647058824	0.6206896551724138	0.6825396825396826	0.5	0.6785714285714286	0.5483870967741935	0.5882352941176471	0.6190476190476191	0.5151515151515151	0.6226415094339622
EPA ICR 0959.13, Federal Register, Vol.73, No.103, page 30617	0.5471698113207547	0.5	0.5384615384615384	0.3421052631578947	0.3827160493827161	0.4814814814814815	0.45945945945945943	0.4693877551020408	0.5	0.4666666666666667	0.5686274509803921	0.352112676056338
Federal Register, Vol. 43, No. 243	0.5348837209302326	0.47619047619047616	0.47619047619047616	0.4242424242424242	0.5211267605633803	0.4545454545454546	0.5625	0.4871794871794872	0.47619047619047616	0.48	0.5121951219512195	0.5081967213114754
Federal Register, Vol.64, No.161, 20 Aug 1999, pp.45632-45697.	0.5849056603773585	0.5	0.5	0.368421052631579	0.3827160493827161	0.40740740740740744	0.4864864864864865	0.5102040816326531	0.5	0.3666666666666667	0.5294117647058824	0.352112676056338
