	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Industrial Production &Capacity Utilization	0.7352941176470589	0.5	0.5517241379310345	0.653061224489796	0.6603773584905661	0.5333333333333333	0.6382978723404256	0.5555555555555556	0.6451612903225806	0.6842105263157895	0.5357142857142857	0.6136363636363636
Introduction to the Hazard Ranking System	0.6764705882352942	0.4285714285714286	0.37037037037037035	0.5833333333333333	0.6226415094339622	0.5161290322580645	0.5957446808510638	0.5357142857142857	0.48275862068965514	0.5555555555555556	0.4642857142857143	0.5681818181818181
NAICS = North American Industrial Classification System	0.5625	0.5	0.4482758620689655	0.5319148936170213	0.6037735849056604	0.53125	0.574468085106383	0.5	0.5	0.5675675675675675	0.4285714285714286	0.5454545454545454
National Seismic Hazard Maps	0.6451612903225806	0.4814814814814815	0.42307692307692313	0.6734693877551021	0.7037037037037037	0.4642857142857143	0.6595744680851063	0.48	0.4814814814814815	0.6	0.46153846153846156	0.6363636363636364
OMB Circular A-4	0.7241379310344828	0.7586206896551724	0.7586206896551724	0.75	0.7735849056603774	0.7333333333333334	0.84	0.7777777777777778	0.8	0.7777777777777778	0.75	0.75
Plant managers conference slide presentation	0.6666666666666667	0.30434782608695654	0.375	0.6304347826086957	0.6666666666666667	0.42307692307692313	0.6136363636363636	0.36363636363636365	0.43999999999999995	0.5757575757575757	0.34782608695652173	0.5853658536585367
Report to Congress: Study on Increasing the Usage of Recovered Mineral Components in Federal Funded Projects Involving Procurement of Cement or Concrete to Address the Safe, Accountable, Flexible, Efficient Transportation, Equity Act: A Legacy for Uses by the EPA, the Department of Transportation (DOT) and the Department of Energy (DOE)	0.6170212765957447	0.5777777777777777	0.5777777777777777	0.339622641509434	0.39655172413793105	0.5652173913043479	0.4642857142857143	0.6444444444444444	0.6382978723404256	0.5882352941176471	0.5348837209302326	0.49090909090909096
Section 4.B(3) of OMB’s 31 March 1995 guidance for implementing the UMRA	1.0	0.6	0.5641025641025641	0.5454545454545454	1.0	0.55	1.0	0.6052631578947368	0.5641025641025641	0.5454545454545454	0.5526315789473684	1.0
Shaping Our Environmental Future: Foresight in the Office of Research & Development	0.6388888888888888	0.5454545454545454	0.5	0.46808510638297873	0.5740740740740741	0.48484848484848486	0.5714285714285714	0.5483870967741935	0.5	0.5263157894736843	0.3793103448275862	0.5434782608695652
special wastes	0.7307692307692308	0.5454545454545454	0.5454545454545454	0.782608695652174	0.803921568627451	0.64	0.8	0.6190476190476191	0.6666666666666667	0.75	0.5909090909090908	0.7560975609756098
Status of State Electric Industry Restructuring Activity as of February 2003	0.6842105263157895	0.5588235294117647	0.5151515151515151	0.47916666666666663	0.5	0.5	0.5208333333333333	0.5625	0.5151515151515151	0.5384615384615384	0.4516129032258065	0.4545454545454546
Supporting Statement” for Information Collection Request (ICR) 1219-0015 “Refuse Piles and impoundment Structures, Recordkeeping and Reporting Requirements	1.0	0.5384615384615384	0.5384615384615384	0.5535714285714286	1.0	0.5609756097560976	1.0	0.5789473684210527	0.575	0.5555555555555556	0.5641025641025641	1.0
Table 2.3. Existing Capacity by Producer Type, 2007	0.6578947368421053	0.48484848484848486	0.5294117647058824	0.45833333333333337	0.4807692307692307	0.5142857142857142	0.56	0.5757575757575757	0.6111111111111112	0.55	0.5588235294117647	0.39534883720930236
TVA Coal Combustion Products Remediation Plan Proposed	0.5483870967741935	0.4285714285714286	0.48275862068965514	0.5217391304347826	0.6226415094339622	0.4666666666666667	0.5957446808510638	0.4814814814814815	0.5806451612903225	0.5945945945945945	0.5172413793103448	0.5
Unit Cost Compendium	0.7142857142857143	0.6	0.6	0.7446808510638299	0.7692307692307692	0.5769230769230769	0.7608695652173914	0.6086956521739131	0.6538461538461539	0.696969696969697	0.5833333333333333	0.7142857142857143
US Census Bureau ZIP Code Tabulation Area (ZCTA) Frequently Asked Questions	0.631578947368421	0.5833333333333333	0.5833333333333333	0.5576923076923077	0.6440677966101696	0.675	0.5961538461538461	0.6666666666666667	0.6923076923076923	0.6888888888888889	0.6486486486486487	0.6274509803921569
User’s Manual for the Subtitle D Municipal Landfill Cost Model	1.0	0.5161290322580645	0.4666666666666667	0.6	1.0	0.5882352941176471	1.0	0.5666666666666667	0.5625	0.5405405405405406	0.4482758620689655	1.0
Waste and Materials-Flow Benchmark Sector Report: Beneficial Use of Secondary Materials – Coal Combustion Products	1.0	0.38235294117647056	0.38235294117647056	0.4509803921568627	1.0	0.6097560975609756	1.0	0.5945945945945945	0.625	0.5681818181818181	0.5405405405405406	1.0
Wastes from the Combustion of Coal by Electric Utility Power Plants	0.5625	0.3928571428571429	0.4482758620689655	0.5625	0.6037735849056604	0.6176470588235294	0.6041666666666667	0.5	0.59375	0.6052631578947368	0.48275862068965514	0.5116279069767442
1992 OMB Circular A-94	0.75	0.78125	0.78125	0.7647058823529411	0.7169811320754718	0.71875	0.78	0.7586206896551724	0.78125	0.7297297297297297	0.7741935483870968	0.7111111111111111
Corrective Measures Study Scope of Work	0.696969696969697	0.5517241379310345	0.5	0.625	0.6851851851851851	0.5806451612903225	0.6666666666666667	0.6071428571428572	0.6	0.6486486486486487	0.42307692307692313	0.6444444444444444
Economic Analysis of Wet Versus Dry Ash Disposal Systems: Interagency Energy/Environment R&D Program Report	0.6829268292682926	0.5277777777777778	0.5277777777777778	0.4285714285714286	0.509090909090909	0.4722222222222222	0.5	0.5714285714285714	0.5277777777777778	0.5476190476190477	0.375	0.5306122448979591
Engineering aspects of karst	0.6896551724137931	0.45833333333333337	0.45833333333333337	0.6739130434782609	0.7307692307692308	0.5555555555555556	0.6590909090909092	0.5833333333333333	0.5769230769230769	0.6764705882352942	0.4347826086956522	0.6666666666666667
EPA’s Action Development Process -- Guidance on Executive Order 13132: Federalism	1.0	0.5555555555555556	0.5945945945945945	0.48	1.0	0.4117647058823529	1.0	0.5151515151515151	0.5945945945945945	0.5714285714285714	0.5833333333333333	1.0
Memoranda 01-27 (Guidance for Implementing E.O. 13211)	0.7674418604651163	0.5945945945945945	0.5945945945945945	0.5660377358490566	0.4716981132075472	0.5789473684210527	0.6037735849056604	0.6	0.5945945945945945	0.5714285714285714	0.5833333333333333	0.4565217391304348
Proposed Rulemaking to Establish Light-Duty Vehicle Greenhouse Gas Emission Standards and Corporate Average Fuel Economy Standards	0.6	0.38235294117647056	0.38235294117647056	0.35416666666666663	0.5	0.5384615384615384	0.4901960784313726	0.5555555555555556	0.5526315789473684	0.5	0.4571428571428572	0.45833333333333337
The PUC Ratemaking Process and the Role of Consumers	0.5625	0.3928571428571429	0.4482758620689655	0.5319148936170213	0.6296296296296297	0.53125	0.574468085106383	0.4444444444444444	0.5	0.5675675675675675	0.48275862068965514	0.5116279069767442
Lisa Jackson’s 14 January 2009 Senate confirmation hearing testimony	1.0	0.5454545454545454	0.5	0.6153846153846154	1.0	0.6111111111111112	1.0	0.5483870967741935	0.5	0.5263157894736843	0.43333333333333335	1.0
Power Price Volatility and Risk Management: An Introduction	0.6285714285714286	0.3793103448275862	0.43333333333333335	0.4893617021276596	0.5925925925925926	0.46875	0.5625	0.5333333333333333	0.5757575757575757	0.5897435897435898	0.5161290322580645	0.5652173913043479
TVA Estimates clean-up cost at between $525m-$825m	0.6176470588235294	0.5161290322580645	0.5161290322580645	0.6	0.6363636363636364	0.5	0.64	0.6129032258064516	0.6470588235294117	0.5405405405405406	0.59375	0.5227272727272727
Wastes from TVA Spill Begins to Arrive at Alabama Landfill amid Controversy	0.5588235294117647	0.5	0.4516129032258065	0.5306122448979591	0.6	0.5294117647058824	0.6	0.59375	0.5454545454545454	0.5641025641025641	0.3793103448275862	0.5434782608695652
Clash in Alabama Over Tennessee Coal Ash	0.26086956521739135	0.5555555555555556	0.5555555555555556	0.6304347826086957	0.6923076923076923	0.5862068965517242	0.6739130434782609	0.5	0.5555555555555556	0.6176470588235294	0.5925925925925926	0.6190476190476191
“EPA Vows to Act on Coal Waste	1.0	0.6071428571428572	0.6551724137931034	0.6875	1.0	0.6774193548387097	1.0	0.6153846153846154	0.7	0.7631578947368421	0.6896551724137931	1.0
2007 Coal Combustion Product (CCP) Production & Use Survey Results (Revised)	0.6578947368421053	0.5294117647058824	0.5294117647058824	0.5769230769230769	0.5094339622641509	0.5555555555555556	0.6415094339622642	0.4838709677419355	0.5294117647058824	0.5128205128205128	0.5151515151515151	0.5
A Novel Approach to the handling and disposal of coal combustion products	0.5	0.37037037037037035	0.37037037037037035	0.5217391304347826	0.5961538461538461	0.3571428571428571	0.5	0.42307692307692313	0.4285714285714286	0.47058823529411764	0.34615384615384615	0.5348837209302326
ACAA webpage containing Frequently Asked Question	0.5757575757575757	0.3571428571428571	0.3571428571428571	0.5416666666666667	0.6363636363636364	0.5	0.5531914893617021	0.6129032258064516	0.6060606060606061	0.6153846153846154	0.5	0.5555555555555556
ACAA’s 2005 beneficial use data	1.0	0.6333333333333333	0.6333333333333333	0.7	1.0	0.5172413793103448	1.0	0.5925925925925926	0.6333333333333333	0.6	0.6206896551724138	1.0
ACAA’s annual CCR tonnage data	1.0	0.6296296296296297	0.6296296296296297	0.7021276595744681	1.0	0.5555555555555556	1.0	0.64	0.6296296296296297	0.6764705882352942	0.6153846153846154	1.0
Annual CCR Disposition for NAICS 22 Electric Utility Plants >100 MW Capacity (tons per year as of 2005)	0.7333333333333334	0.6666666666666667	0.6666666666666667	0.5714285714285714	0.5344827586206897	0.6190476190476191	0.6071428571428572	0.641025641025641	0.6666666666666667	0.6938775510204082	0.5897435897435898	0.5
ASTM D5396 - 04 Standard Specification for Reclaimed Perchloroethylene	0.7073170731707317	0.5142857142857142	0.5142857142857142	0.5098039215686274	0.5535714285714286	0.6153846153846154	0.6296296296296297	0.5588235294117647	0.5945945945945945	0.5714285714285714	0.5833333333333333	0.4565217391304348
ASTM Volume 15.05, Engine Coolants, Halogenated Organic Solvents and Fire Extinguishing Agents; Industrial and Specialty Chemicals	0.6046511627906976	0.5952380952380952	0.5609756097560976	0.40384615384615385	0.48275862068965514	0.5121951219512195	0.5272727272727273	0.5641025641025641	0.525	0.574468085106383	0.55	0.43999999999999995
avoided disposal cost incentive	0.6666666666666667	0.4782608695652174	0.4782608695652174	0.7173913043478262	0.7450980392156863	0.45833333333333337	0.7045454545454546	0.4	0.4782608695652174	0.6129032258064516	0.4545454545454546	0.7142857142857143
Better, Safer Ways to Handle Coal Slurry Do Exist	0.6857142857142857	0.6363636363636364	0.59375	0.5918367346938775	0.6545454545454545	0.6176470588235294	0.6862745098039216	0.6451612903225806	0.6363636363636364	0.675	0.5333333333333333	0.6382978723404256
Biographical Directory of the US Congress	0.6666666666666667	0.4642857142857143	0.40740740740740744	0.6041666666666667	0.6666666666666667	0.59375	0.6734693877551021	0.5714285714285714	0.5172413793103448	0.6216216216216216	0.3846153846153846	0.5909090909090908
CalStar Gives Sneak Peek of Low-Carbon Brick Factory	0.5882352941176471	0.43333333333333335	0.43333333333333335	0.5510204081632653	0.6181818181818182	0.6756756756756757	0.62	0.5806451612903225	0.6176470588235294	0.5897435897435898	0.4666666666666667	0.5957446808510638
Coal Combustion Products -- Production & Use Statistics	0.625	0.40740740740740744	0.40740740740740744	0.6041666666666667	0.6415094339622642	0.5483870967741935	0.6734693877551021	0.46153846153846156	0.5172413793103448	0.5	0.5	0.5581395348837209
Electric Utility Regulation	0.7419354838709677	0.5384615384615384	0.5384615384615384	0.6808510638297872	0.7115384615384616	0.5714285714285714	0.6956521739130435	0.6	0.5925925925925926	0.6470588235294117	0.45833333333333337	0.6428571428571428
