	Clash in Alabama Over Tennessee Coal Ash,” The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the “direct cost” scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA’s 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to “substantial direct compliance costs”:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of “Attachment A: Guidance for Implementing the Federalism 1% Test” to EPA’s Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA’s
Hazardous Waste Industry Review 2008-2009	0.8064516129032258	0.8382352941176471	0.8169014084507042	0.9453781512605042	0.9545454545454546	0.8333333333333334	0.9051724137931034	0.9074074074074074	0.8571428571428571	0.828125	0.8404255319148937	0.9182879377431906
Historical CCR beneficial use data for 1966-2008	0.7903225806451613	0.8382352941176471	0.8309859154929577	0.9264705882352942	0.9413489736070382	0.8	0.8706896551724138	0.8518518518518519	0.7777777777777778	0.796875	0.8085106382978723	0.8871595330739299
May 2004 Incinerator and Landfill Cost Data	0.8387096774193549	0.7647058823529411	0.7605633802816901	0.9264705882352942	0.9486803519061584	0.7888888888888889	0.896551724137931	0.8148148148148148	0.7936507936507936	0.796875	0.8191489361702128	0.8871595330739299
Part 2 CCT Overview Environmental Protection Technologies (Technologies to Effectively Use Coal Ash):5C1. Coal Ash Generation Process and Application Fields	0.7884615384615384	0.8333333333333334	0.8205128205128205	0.8214285714285714	0.841642228739003	0.7756410256410257	0.7931034482758621	0.8076923076923077	0.8012820512820513	0.8012820512820513	0.7628205128205128	0.77431906614786
Recent Examples of Rate Increases in Vertically Integrated States	0.8307692307692308	0.8088235294117647	0.7887323943661971	0.8907563025210085	0.9178885630498533	0.8	0.8275862068965517	0.7692307692307693	0.8307692307692308	0.8307692307692308	0.7127659574468085	0.8365758754863813
Recommended Practice	0.8709677419354839	0.8529411764705882	0.8591549295774648	0.9600840336134454	0.9706744868035191	0.8555555555555555	0.9267241379310345	0.8148148148148148	0.8095238095238095	0.859375	0.8617021276595744	0.9299610894941635
State RCRA Subtitle C Core Hazardous Waste Management Program Implementation Costs Final Report	0.7894736842105263	0.7894736842105263	0.7157894736842105	0.8613445378151261	0.8914956011730205	0.8421052631578947	0.7844827586206896	0.8105263157894737	0.7578947368421053	0.7684210526315789	0.7578947368421053	0.8093385214007782
Status of Coal Ash Production	0.7741935483870968	0.8235294117647058	0.7887323943661971	0.9474789915966386	0.9604105571847508	0.8333333333333334	0.9094827586206896	0.7777777777777778	0.7777777777777778	0.828125	0.8085106382978723	0.9105058365758755
nan	0.9516129032258065	0.9558823529411765	0.9577464788732394	0.9936974789915967	0.9956011730205279	0.9666666666666667	0.9870689655172413	0.9629629629629629	0.9682539682539683	0.96875	0.9680851063829787	0.9883268482490273
nan	0.9516129032258065	0.9558823529411765	0.9577464788732394	0.9936974789915967	0.9956011730205279	0.9666666666666667	0.9870689655172413	0.9629629629629629	0.9682539682539683	0.96875	0.9680851063829787	0.9883268482490273
