"Journal Data Filtered By:  Selected JCR Year: 2008 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score,
113,COORDINATION CHEMISTRY REVIEWS,0010-8545,"19,069",10.566,134,0.057030,
114,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"41,537",10.545,124,0.109240,
114,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"41,537",10.545,124,0.109240,
116,CURRENT OPINION IN IMMUNOLOGY,0952-7915,"7,852",10.455,95,0.042930,
117,BLOOD,0006-4971,"122,032",10.432,"1,237",0.462530,
118,NANO LETTERS,1530-6984,"37,089",10.371,817,0.252900,
119,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,"2,100",10.283,27,0.009840,
120,ANNUAL REVIEW OF PHYTOPATHOLOGY,0066-4286,"4,191",10.237,16,0.009530,
121,GENOME RESEARCH,1088-9051,"18,721",10.176,201,0.125340,
122,ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,1543-592X,"10,653",10.161,30,0.024160,
123,AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,"32,980",10.153,204,0.134890,
124,CIRCULATION RESEARCH,0009-7330,"39,873",9.989,320,0.147960,
125,ANNALS OF NEUROLOGY,0364-5134,"28,710",9.935,169,0.079960,
126,ACM COMPUTING SURVEYS,0360-0300,"3,273",9.920,12,0.006480,
127,TRENDS IN IMMUNOLOGY,1471-4906,"6,542",9.910,79,0.046720,
128,ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE,0163-8998,"1,709",9.893,13,0.007950,
129,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,"43,595",9.792,309,0.118600,
130,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,"29,564",9.773,347,0.095460,
131,GUT,0017-5749,"28,372",9.766,193,0.073820,
132,CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,"7,252",9.677,79,0.045000,
133,TRENDS IN MOLECULAR MEDICINE,1471-4914,"4,280",9.621,60,0.028010,
134,BRAIN,0006-8950,"31,310",9.603,275,0.098640,
135,PHARMACOLOGY & THERAPEUTICS,0163-7258,"8,536",9.443,93,0.031240,
136,DRUG RESISTANCE UPDATES,1368-7646,"1,406",9.412,16,0.005880,
137,ECOLOGY LETTERS,1461-023X,"8,562",9.392,110,0.065700,
138,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,"416,018",9.380,"3,508",1.698170,
139,TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,"9,642",9.340,83,0.033910,
140,ANNUAL REVIEW OF FLUID MECHANICS,0066-4189,"5,239",9.314,17,0.014810,
141,PLANT CELL,1040-4651,"28,874",9.296,229,0.121570,
142,TRENDS IN PLANT SCIENCE,1360-1385,"8,403",9.210,92,0.036440,
143,PROGRESS IN NEUROBIOLOGY,0301-0082,"8,746",9.130,59,0.024920,
144,PLoS Pathogens,1553-7366,"3,321",9.125,254,0.030030,
145,JOURNAL OF CELL BIOLOGY,0021-9525,"68,535",9.120,393,0.247790,
146,SEMINARS IN IMMUNOLOGY,1044-5323,"2,780",9.114,41,0.017750,
147,Nature Clinical Practice Oncology,1743-4254,"1,437",9.113,56,0.011150,
