	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Report to Congress Study on Increasing the Usage of Recovered Mineral Components in Federal Funded Projects Involving Procurement of Cement or Concrete to Address the Safe Accountable Flexible Efficient Transportation Equity Act A Legacy for Uses by the EPA the Department of Transportation DOT and the Department of Energy DOE	0.6222222222222222	0.525	0.525	0.2978723404255319	0.41509433962264153	0.5365853658536586	0.42000000000000004	0.6	0.575	0.5348837209302326	0.4736842105263158	0.4285714285714286
Section 4B3 of OMB’s 31 March 1995 guidance for implementing the UMRA	0.6904761904761905	0.5555555555555556	0.5142857142857142	0.5102040816326531	0.4901960784313726	0.48571428571428577	0.5882352941176471	0.5588235294117647	0.48484848484848486	0.4864864864864865	0.5	0.4444444444444444
Shaping Our Environmental Future Foresight in the Office of Research  Development	0.6285714285714286	0.5	0.4482758620689655	0.4285714285714286	0.5416666666666667	0.4666666666666667	0.5555555555555556	0.5	0.40740740740740744	0.46875	0.3076923076923077	0.5
special wastes	0.7407407407407407	0.5238095238095238	0.5238095238095238	0.7619047619047619	0.782608695652174	0.6086956521739131	0.7857142857142857	0.6	0.6190476190476191	0.7037037037037037	0.5714285714285714	0.7435897435897436
Status of State Electric Industry Restructuring Activity as of February 2003	0.6923076923076923	0.5454545454545454	0.5	0.43181818181818177	0.44680851063829785	0.46875	0.48888888888888893	0.5483870967741935	0.4666666666666667	0.47058823529411764	0.43333333333333335	0.4285714285714286
Supporting Statement” for Information Collection Request ICR 12190015 “Refuse Piles and impoundment Structures Recordkeeping and Reporting Requirements	0.7209302325581395	0.5142857142857142	0.5142857142857142	0.54	0.4901960784313726	0.48571428571428577	0.5	0.5151515151515151	0.48484848484848486	0.4864864864864865	0.5	0.4444444444444444
Table 23 Existing Capacity by Producer Type 2007	0.6842105263157895	0.43333333333333335	0.4838709677419355	0.4545454545454546	0.46808510638297873	0.4516129032258065	0.5111111111111111	0.5333333333333333	0.5483870967741935	0.5	0.5161290322580645	0.375
TVA Coal Combustion Products Remediation Plan Proposed	0.5625	0.40740740740740744	0.4642857142857143	0.47619047619047616	0.5833333333333333	0.4285714285714286	0.5681818181818181	0.46153846153846156	0.5357142857142857	0.53125	0.5	0.475
Unit Cost Compendium	0.7241379310344828	0.5833333333333333	0.5833333333333333	0.7209302325581395	0.7446808510638299	0.5416666666666667	0.7441860465116279	0.5909090909090908	0.6086956521739131	0.6428571428571428	0.5652173913043479	0.7
US Census Bureau ZIP Code Tabulation Area ZCTA Frequently Asked Questions	0.6216216216216216	0.5454545454545454	0.5454545454545454	0.5	0.6481481481481481	0.6388888888888888	0.5531914893617021	0.6363636363636364	0.6470588235294117	0.631578947368421	0.6176470588235294	0.5957446808510638
