	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Actions Concerning Regulations That Significantly Affect Energy Supply Distribution or Use	0.8111111111111111	0.8	0.8	0.8682505399568035	0.8985294117647059	0.8444444444444444	0.8245614035087719	0.7777777777777778	0.7777777777777778	0.8111111111111111	0.8152173913043478	0.8232931726907631
Executive Order 12866	0.8870967741935484	0.8939393939393939	0.8840579710144928	0.9719222462203023	0.9764705882352941	0.8977272727272727	0.9385964912280702	0.8867924528301887	0.8666666666666667	0.8813559322033898	0.9021739130434783	0.9518072289156626
Federal Actions to Address Environmental Justice in Minority Populations and LowIncome Populations	0.7755102040816326	0.7653061224489796	0.7755102040816326	0.8488120950323974	0.8838235294117647	0.7755102040816326	0.7850877192982456	0.7857142857142857	0.7551020408163265	0.7551020408163265	0.8367346938775511	0.7991967871485943
Overview of LifeCycle Stages and Costs Considered by Software Systems and Tools	0.7974683544303798	0.7848101265822784	0.7848101265822784	0.8876889848812095	0.9073529411764706	0.7954545454545454	0.8201754385964912	0.7341772151898734	0.759493670886076	0.759493670886076	0.7934782608695652	0.8112449799196787
Text of the 14 January 2009 HR 493 bill	0.8387096774193549	0.8484848484848485	0.8115942028985508	0.9416846652267818	0.9558823529411765	0.8522727272727273	0.8947368421052632	0.7924528301886793	0.8	0.8135593220338984	0.8260869565217391	0.9116465863453815
TVA Widow’s Creek Clean Up Info	0.8225806451612904	0.8484848484848485	0.8405797101449275	0.9503239740820735	0.9647058823529412	0.8409090909090909	0.9122807017543859	0.8490566037735849	0.85	0.8135593220338984	0.8478260869565217	0.9156626506024096
US Dept of Energy DOE Energy Information Administration EIA website	0.8507462686567164	0.8507462686567164	0.8115942028985508	0.896328293736501	0.9205882352941176	0.7954545454545454	0.8552631578947368	0.8059701492537313	0.8208955223880597	0.8507462686567164	0.7608695652173914	0.8232931726907631
US Senate Resolution 64	0.8387096774193549	0.8333333333333334	0.8260869565217391	0.958963282937365	0.9720588235294118	0.8522727272727273	0.9254385964912281	0.8490566037735849	0.8333333333333334	0.7796610169491526	0.8478260869565217	0.9317269076305221
RCRA Practice Manual	0.8870967741935484	0.8484848484848485	0.855072463768116	0.9632829373650108	0.9720588235294118	0.8522727272727273	0.9342105263157895	0.8679245283018868	0.8833333333333333	0.8813559322033898	0.8695652173913043	0.9357429718875502
2009 Hazardous Waste Report	0.7903225806451613	0.803030303030303	0.8115942028985508	0.958963282937365	0.9691176470588235	0.8295454545454546	0.9210526315789473	0.8301886792452831	0.85	0.8135593220338984	0.8695652173913043	0.9156626506024096
